,GameDuration,NumberOfMatches
27,2,350
34,3,57
28,4,34
29,5,27
42,6,19
41,7,12
53,8,20
47,9,20
46,10,23
45,11,12
56,12,18
39,13,25
50,14,27
22,15,596
4,16,677
20,17,216
5,18,234
38,19,458
2,20,468
30,21,458
19,22,507
21,23,697
24,24,858
17,25,879
15,26,1014
6,27,1079
9,28,1099
0,29,1148
23,30,1208
3,31,1084
8,32,978
1,33,898
10,34,799
18,35,688
14,36,663
7,37,497
16,38,426
31,39,366
12,40,290
11,41,238
37,42,194
32,43,157
26,44,124
13,45,83
40,46,70
35,47,59
25,48,42
33,49,31
52,50,19
48,51,18
51,52,7
54,53,8
44,54,3
36,55,6
49,56,5
58,57,3
43,59,1
55,60,2
57,62,1
