,first_baron,one_baron,two_barons,first_dragon,dragon_soul,one_three_hordes,four_six_hordes,first_inhibitor,rift_herald
iron,81.67,79.5,82.57,62.15,87.1,49.88,61.24,89.63,65.92
bronze,80.46,78.31,81.53,61.97,89.21,47.9,64.0,89.84,67.62
silver,81.25,77.31,84.08,61.11,88.44,47.53,63.25,91.03,64.51
gold,81.71,78.13,84.08,61.58,88.17,45.86,64.51,91.51,68.06
platinum,81.55,77.12,86.59,59.29,88.7,47.17,63.7,91.4,66.63
emerald,82.43,78.73,86.26,60.51,89.62,46.17,65.13,91.61,67.84
diamond,81.26,77.79,82.79,61.12,88.01,45.2,65.62,91.77,68.74
master,81.56,78.82,86.41,62.35,92.17,44.83,68.22,92.51,70.76
grandmaster,83.91,81.76,82.76,59.28,89.67,46.01,65.73,92.65,68.95
challenger,83.68,80.47,85.54,61.05,88.18,46.54,65.25,91.8,70.37
